Country;reported;estimated
Singapore;0;115
Qatar;0;112
Democratic Republic of the Congo;0;110
Bahrain;0;109
Syrian Arab Republic;0;103
Papua New Guinea;0;100
Burundi;0;94
Libya;0;91
Somalia;0;88
Eritrea;0;63
Lesotho;47;54
Democratic People's Republic of Korea;53;39
Turkmenistan;49;39
Lao People's Democratic Republic;65;37
Afghanistan;62;33
Viet Nam;83;31
Angola;81;31
Timor-Leste;47;31
South Sudan;0;29
Chad;63;28
Tajikistan;65;27
Sao Tome and Principe;62;27
Puerto Rico;0;27
Myanmar;88;25
United States of America;100;24
Kuwait;92;24
Mozambique;92;24
Liberia;67;24
Solomon Islands;63;23
China, mainland;104;22
Mexico;103;22
Thailand;103;22
Dominican Republic;87;22
Peru;98;21
Egypt;97;21
Iraq;86;21
Uzbekistan;78;21
Sierra Leone;74;21
Brazil;102;20
France;102;20
Canada;101;20
Germany;101;20
Netherlands;101;20
United Kingdom;101;20
Bulgaria;99;20
Spain;99;20
Colombia;98;20
Nepal;95;20
New Zealand;95;20
Côte d'Ivoire;94;20
Norway;94;20
Israel;91;20
Bolivia (Plurinational State of);91;20
Bosnia and Herzegovina;89;20
Congo;85;20
Montenegro;78;20
South Africa;104;19
Philippines;103;19
Italy;102;19
Australia;101;19
Belgium;100;19
Czech Republic;100;19
Republic of Korea;100;19
Venezuela (Bolivarian Republic of);100;19
Malaysia;99;19
China, Taiwan Province of;98;19
United Arab Emirates;98;19
Austria;98;19
Switzerland;97;19
Kenya;97;19
Ethiopia;95;19
Ecuador;95;19
Kazakhstan;95;19
Ghana;93;19
Ukraine;91;19
Serbia;89;19
Algeria;87;19
Brunei Darussalam;84;19
Cabo Verde;76;19
Mongolia;70;19
Samoa;64;19
Kiribati;53;19
Ireland;100;18
India;100;18
Indonesia;100;18
Poland;99;18
Greece;97;18
Guatemala;97;18
Romania;97;18
Russian Federation;96;18
Honduras;95;18
Nicaragua;95;18
Slovakia;95;18
Panama;93;18
Senegal;93;18
Uganda;92;18
Argentina;92;18
China, Hong Kong SAR;91;18
Iran (Islamic Republic of);90;18
Albania;89;18
Burkina Faso;88;18
Rwanda;85;18
Niger;84;18
Bahamas;82;18
Gambia;80;18
Guinea-Bissau;65;18
Vanuatu;64;18
Japan;103;17
United Republic of Tanzania;103;17
Portugal;102;17
Pakistan;101;17
Nigeria;98;17
Hungary;97;17
Zambia;97;17
Madagascar;95;17
Morocco;95;17
Croatia;92;17
Uruguay;92;17
Botswana;92;17
Belarus;91;17
Swaziland;90;17
Jordan;90;17
Zimbabwe;90;17
Saudi Arabia;90;17
Tunisia;87;17
Guinea;86;17
Cuba;84;17
Kyrgyzstan;82;17
French Polynesia;79;17
Haiti;79;17
Denmark;98;16
Oman;98;16
Chile;97;16
Turkey;97;16
Costa Rica;96;16
Sweden;96;16
Mauritius;89;16
Malta;88;16
The former Yugoslav Republic of Macedonia;88;16
Trinidad and Tobago;87;16
New Caledonia;86;16
Azerbaijan;86;16
Malawi;86;16
Fiji;85;16
Republic of Moldova;84;16
Gabon;81;16
Antigua and Barbuda;80;16
Suriname;80;16
Maldives;78;16
Belize;75;16
Djibouti;67;16
Dominica;66;16
Saint Vincent and the Grenadines;66;16
Slovenia;96;15
Sri Lanka;96;15
Lebanon;95;15
Cameroon;93;15
Bangladesh;92;15
Namibia;92;15
Luxembourg;92;15
Finland;91;15
Latvia;91;15
Estonia;90;15
Jamaica;88;15
Cambodia;87;15
Benin;86;15
Georgia;86;15
Paraguay;86;15
Iceland;85;15
Mali;84;15
Barbados;81;15
Guyana;80;15
El Salvador;94;14
Lithuania;93;14
Cyprus;90;14
Togo;87;14
Central African Republic;66;14
Armenia;86;13
Mauritania;77;13
Saint Lucia;71;13
China, Macao SAR;68;13
Yemen;83;12
Saint Kitts and Nevis;69;12
Grenada;73;10
Netherlands Antilles;52;8
Sudan;92;4
Belgium-Luxembourg;0;0
Czechoslovakia;0;0
Serbia and Montenegro;0;0
USSR;0;0
Yugoslav SFR;0;0
