Country.COMTRADE;Country
Afghanistan;Afghanistan
Albania;Albania
Algeria;Algeria
Andorra;Andorra
Angola;Angola
Anguilla;Anguilla
Antigua and Barbuda;Antigua and Barbuda
Argentina;Argentina
Armenia;Armenia
Aruba;Aruba
Australia;Australia
Austria;Austria
Azerbaijan;Azerbaijan
Bahamas;Bahamas
Bahrain;Bahrain
Bangladesh;Bangladesh
Barbados;Barbados
Belarus;Belarus
Belgium;Belgium
Belgium-Luxembourg;Belgium-Luxembourg
Belize;Belize
Benin;Benin
Bermuda;Bermuda
Bhutan;Bhutan
Bolivia (Plurinational State of);Bolivia (Plurinational State of)
Bonaire;Netherlands Antilles
Bosnia Herzegovina;Bosnia and Herzegovina
Botswana;Botswana
Br. Virgin Isds;British Virgin Islands
Brazil;Brazil
Brunei Darussalam;Brunei Darussalam
Bulgaria;Bulgaria
Burkina Faso;Burkina Faso
Burundi;Burundi
Côte d'Ivoire;C�te d'Ivoire
Cabo Verde;Cabo Verde
Cambodia;Cambodia
Cameroon;Cameroon
Canada;Canada
Cayman Isds;Cayman Islands
Central African Rep.;Central African Republic
Chad;Chad
Chile;Chile
China;China, mainland
China, Hong Kong SAR;China, Hong Kong SAR
China, Macao SAR;China, Macao SAR
Colombia;Colombia
Comoros;Comoros
Congo;Congo
Cook Isds;Cook Islands
Costa Rica;Costa Rica
Croatia;Croatia
Cuba;Cuba
Curaçao;Netherlands Antilles
Cyprus;Cyprus
Czech Rep.;Czech Republic
Czechoslovakia;Czechoslovakia
Dem. People's Rep. of Korea;Democratic People's Republic of Korea
Dem. Rep. of the Congo;Democratic Republic of the Congo
Denmark;Denmark
Djibouti;Djibouti
Dominica;Dominica
Dominican Rep.;Dominican Republic
Ecuador;Ecuador
Egypt;Egypt
El Salvador;El Salvador
Equatorial Guinea;Equatorial Guinea
Eritrea;Eritrea
Estonia;Estonia
Ethiopia;Ethiopia
EU-28;NA
Faeroe Isds;Faroe Islands
Falkland Isds (Malvinas);Falkland Islands (Malvinas)
Fiji;Fiji
Finland;Finland
Fmr Arab Rep. of Yemen;Yemen
Fmr Dem. Rep. of Germany;Germany
Fmr Dem. Yemen;Yemen
Fmr Ethiopia;Ethiopia
Fmr Fed. Rep. of Germany;Germany
Fmr Pacific Isds;Pacific Islands Trust Territory
Fmr Sudan;Sudan (former)
Fmr USSR;USSR
Fmr Yugoslavia;Yugoslav SFR
France;France
French Guiana;French Guiana
French Polynesia;French Polynesia
FS Micronesia;Micronesia (Federated States of)
Gabon;Gabon
Gambia;Gambia
Georgia;Georgia
Germany;Germany
Ghana;Ghana
Gibraltar;Gibraltar
Greece;Greece
Greenland;Greenland
Grenada;Grenada
Guadeloupe;Guadeloupe
Guatemala;Guatemala
Guinea;Guinea
Guinea-Bissau;Guinea-Bissau
Guyana;Guyana
Haiti;Haiti
Holy See (Vatican City State);Holy See
Honduras;Honduras
Hungary;Hungary
Iceland;Iceland
India;India
Indonesia;Indonesia
Iran;Iran (Islamic Republic of)
Iraq;Iraq
Ireland;Ireland
Israel;Israel
Italy;Italy
Jamaica;Jamaica
Japan;Japan
Jordan;Jordan
Kazakhstan;Kazakhstan
Kenya;Kenya
Kiribati;Kiribati
Kuwait;Kuwait
Kyrgyzstan;Kyrgyzstan
Lao People's Dem. Rep.;Lao People's Democratic Republic
Latvia;Latvia
Lebanon;Lebanon
Lesotho;Lesotho
Liberia;Liberia
