Country.EIA;Country
North America;NA
Bermuda;Bermuda
Canada;Canada
Greenland;Greenland
Mexico;Mexico
Saint Pierre and Miquelon;Saint Pierre and Miquelon
United States;United States of America
Central & South America;NA
Antarctica;Antarctica
Antigua and Barbuda;Antigua and Barbuda
Argentina;Argentina
Aruba;Aruba
Bahamas, The;Bahamas
Barbados;Barbados
Belize;Belize
Bolivia;Bolivia (Plurinational State of)
Brazil;Brazil
Cayman Islands;Cayman Islands
Chile;Chile
Colombia;Colombia
Costa Rica;Costa Rica
Cuba;Cuba
Dominica;Dominica
Dominican Republic;Dominican Republic
Ecuador;Ecuador
El Salvador;El Salvador
Falkland Islands (Islas Malvinas);Falkland Islands (Malvinas)
French Guiana;French Guiana
Grenada;Grenada
Guadeloupe;Guadeloupe
Guatemala;Guatemala
Guyana;Guyana
Haiti;Haiti
Honduras;Honduras
Jamaica;Jamaica
Martinique;Martinique
Montserrat;Montserrat
Netherlands Antilles;Netherlands Antilles
Nicaragua;Nicaragua
Panama;Panama
Paraguay;Paraguay
Peru;Peru
Puerto Rico;Puerto Rico
Saint Kitts and Nevis;Saint Kitts and Nevis
Saint Lucia;Saint Lucia
Saint Vincent/Grenadines;Saint Vincent and the Grenadines
Suriname;Suriname
Trinidad and Tobago;Trinidad and Tobago
Turks and Caicos Islands;Turks and Caicos Islands
Uruguay;Uruguay
Venezuela;Venezuela (Bolivarian Republic of)
Virgin Islands,  U.S.;United States Virgin Islands
Virgin Islands, British;British Virgin Islands
Europe;NA
Albania;Albania
Austria;Austria
Belgium;Belgium
Bosnia and Herzegovina;Bosnia and Herzegovina
Bulgaria;Bulgaria
Croatia;Croatia
Cyprus;Cyprus
Czech Republic;Czech Republic
Denmark;Denmark
Faroe Islands;Faroe Islands
Finland;Finland
Former Czechoslovakia;Czechoslovakia
Former Serbia and Montenegro;Serbia and Montenegro
Former Yugoslavia;Yugoslav SFR
France;France
Germany;Germany
Germany, East;Germany
Germany, West;Germany
Gibraltar;Gibraltar
Greece;Greece
Hungary;Hungary
Iceland;Iceland
Ireland;Ireland
Italy;Italy
Luxembourg;Luxembourg
Macedonia;The former Yugoslav Republic of Macedonia
Malta;Malta
Montenegro;Montenegro
Netherlands;Netherlands
Norway;Norway
Poland;Poland
Portugal;Portugal
Romania;Romania
Serbia;Serbia
Slovakia;Slovakia
Slovenia;Slovenia
Spain;Spain
Sweden;Sweden
Switzerland;Switzerland
Turkey;Turkey
United Kingdom;United Kingdom
Eurasia;NA
Armenia;Armenia
Azerbaijan;Azerbaijan
Belarus;Belarus
Estonia;Estonia
Former U.S.S.R.;USSR
Georgia;Georgia
Kazakhstan;Kazakhstan
Kyrgyzstan;Kyrgyzstan
Latvia;Latvia
Lithuania;Lithuania
Moldova;Republic of Moldova
Russia;Russian Federation
Tajikistan;Tajikistan
Turkmenistan;Turkmenistan
Ukraine;Ukraine
Uzbekistan;Uzbekistan
Middle East;NA
Bahrain;Bahrain
Iran;Iran (Islamic Republic of)
Iraq;Iraq
Israel;Israel
Jordan;Jordan
Kuwait;Kuwait
Lebanon;Lebanon
Oman;Oman
Palestinian Territories;Occupied Palestinian Territory
Qatar;Qatar
Saudi Arabia;Saudi Arabia
Syria;Syrian Arab Republic
United Arab Emirates;United Arab Emirates
Yemen;Yemen
Africa;NA
Algeria;Algeria
Angola;Angola
Benin;Benin
Botswana;Botswana
Burkina Faso;Burkina Faso
Burundi;Burundi
Cameroon;Cameroon
Cape Verde;Cabo Verde
Central African Republic;Central African Republic
Chad;Chad
Comoros;Comoros
Congo (Brazzaville);Congo
