Country.Code;Country;EXIOregion;EXIO2digit;EXIOcode
1;Armenia;RoW Asia and Pacific;WA;45
2;Afghanistan;RoW Asia and Pacific;WA;45
3;Albania;RoW Europe;WE;47
4;Algeria;RoW Africa;WF;48
5;American Samoa;RoW Asia and Pacific;WA;45
6;Andorra;RoW Europe;WE;47
7;Angola;RoW Africa;WF;48
8;Antigua and Barbuda;RoW America;WL;46
9;Argentina;RoW America;WL;46
10;Australia;Australia;AU;38
11;Austria;Austria;AT;1
12;Bahamas;RoW America;WL;46
13;Bahrain;RoW Middle East;WM;49
14;Barbados;RoW America;WL;46
15;Belgium-Luxembourg;#NV;#NV;#NV
16;Bangladesh;RoW Asia and Pacific;WA;45
17;Bermuda;RoW America;WL;46
18;Bhutan;RoW Asia and Pacific;WA;45
19;Bolivia (Plurinational State of);RoW America;WL;46
20;Botswana;RoW Africa;WF;48
21;Brazil;Brazil;BR;34
22;Aruba;RoW America;WL;46
23;Belize;RoW America;WL;46
24;British Indian Ocean Territory;RoW Asia and Pacific;WA;45
25;Solomon Islands;RoW Asia and Pacific;WA;45
26;Brunei Darussalam;RoW Asia and Pacific;WA;45
27;Bulgaria;Bulgaria;BG;3
28;Myanmar;RoW Asia and Pacific;WA;45
29;Burundi;RoW Africa;WF;48
30;Antarctica;RoW Asia and Pacific;WA;45
31;Bouvet Island;RoW Asia and Pacific;WA;45
32;Cameroon;RoW Africa;WF;48
33;Canada;Canada;CA;32
34;Canton and Enderbury Islands;#NV;#NV;#NV
35;Cabo Verde;RoW Africa;WF;48
36;Cayman Islands;RoW America;WL;46
37;Central African Republic;RoW Africa;WF;48
38;Sri Lanka;RoW Asia and Pacific;WA;45
39;Chad;RoW Africa;WF;48
40;Chile;RoW America;WL;46
41;China, mainland;China;CN;31
42;Christmas Island;RoW Asia and Pacific;WA;45
43;Cocos (Keeling) Islands;RoW Asia and Pacific;WA;45
44;Colombia;RoW America;WL;46
45;Comoros;RoW Africa;WF;48
