Country.IEA;Country
Australia;Australia
Austria;Austria
Belgium;Belgium
Canada;Canada
Chile;Chile
Czech Republic;Czech Republic
Denmark;Denmark
Estonia;Estonia
Finland;Finland
France;France
Germany;Germany
Greece;Greece
Hungary;Hungary
Iceland;Iceland
Ireland;Ireland
Israel;Israel
Italy;Italy
Japan;Japan
Korea;Republic of Korea
Luxembourg;Luxembourg
Mexico;Mexico
Netherlands;Netherlands
New Zealand;New Zealand
Norway;Norway
Poland;Poland
Portugal;Portugal
Slovak Republic;Slovakia
Slovenia;Slovenia
Spain;Spain
Sweden;Sweden
Switzerland;Switzerland
Turkey;Turkey
United Kingdom;United Kingdom
United States;United States of America
IEA Total;NA
OECD Americas;NA
OECD Asia Oceania;NA
OECD Europe;NA
OECD Total;NA
Argentina;Argentina
Bolivia;Bolivia (Plurinational State of)
Brazil;Brazil
Colombia;Colombia
Costa Rica;Costa Rica
Cuba;Cuba
Dominican Republic;Dominican Republic
El Salvador;El Salvador
Ecuador;Ecuador
Guatemala;Guatemala
Haiti;Haiti
Honduras;Honduras
Jamaica;Jamaica
Netherlands Antilles / Curaçao;Netherlands Antilles
Nicaragua;Nicaragua
Panama;Panama
Paraguay;Paraguay
Peru;Peru
Suriname;Suriname
Trinidad and Tobago;Trinidad and Tobago
Uruguay;Uruguay
Venezuela;Venezuela (Bolivarian Republic of)
Other Non-OECD Americas;NA
Albania;Albania
Armenia;Armenia
Azerbaijan;Azerbaijan
Belarus;Belarus
Bosnia and Herzegovina;Bosnia and Herzegovina
Bulgaria;Bulgaria
Croatia;Croatia
Cyprus;Cyprus
Former Yugoslav Republic of Macedonia;The former Yugoslav Republic of Macedonia
Georgia;Georgia
Gibraltar;Gibraltar
Kazakhstan;Kazakhstan
Kosovo;NA
Kyrgyzstan;Kyrgyzstan
Latvia;Latvia
Lithuania;Lithuania
Malta;Malta
Republic of Moldova;Republic of Moldova
Montenegro;Montenegro
Romania;Romania
Russia;Russian Federation
Serbia;Serbia
Tajikistan;Tajikistan
Turkmenistan;Turkmenistan
Ukraine;Ukraine
Uzbekistan;Uzbekistan
Algeria;Algeria
Angola;Angola
Benin;Benin
Botswana;Botswana
Cameroon;Cameroon
Republic of the Congo;Congo
Côte d'Ivoire;Côte d'Ivoire
Democratic Republic of the Congo;Democratic Republic of the Congo
Egypt;Egypt
Eritrea;Eritrea
Ethiopia;Ethiopia
Gabon;Gabon
Ghana;Ghana
Kenya;Kenya
Libya;Libya
Mauritius;Mauritius
Morocco;Morocco
Mozambique;Mozambique
Namibia;Namibia
Niger;Niger
Nigeria;Nigeria
Senegal;Senegal
South Africa;South Africa
South Sudan;South Sudan
Sudan;Sudan (former)
United Republic of Tanzania;United Republic of Tanzania
Togo;Togo
Tunisia;Tunisia
Zambia;Zambia
Zimbabwe;Zimbabwe
Other Africa;NA
Bahrain;Bahrain
Islamic Republic of Iran;Iran (Islamic Republic of)
Iraq;Iraq
Jordan;Jordan
Kuwait;Kuwait
Lebanon;Lebanon
Oman;Oman
Qatar;Qatar
Saudi Arabia;Saudi Arabia
Syrian Arab Republic;Syrian Arab Republic
United Arab Emirates;United Arab Emirates
Yemen;Yemen
Bangladesh;Bangladesh
Brunei Darussalam;Brunei Darussalam
Cambodia;Cambodia
India;India
Indonesia;Indonesia
Democratic People's Republic of Korea;Democratic People's Republic of Korea
Malaysia;Malaysia
Mongolia;Mongolia
Myanmar;Myanmar
Nepal;Nepal
Pakistan;Pakistan
Philippines;Philippines
Singapore;Singapore
Sri Lanka;Sri Lanka
Chinese Taipei;China, Taiwan Province of
Thailand;Thailand
Viet Nam;Viet Nam
Other Asia;NA
People's Republic of China;China, mainland
Hong Kong, China;China, Hong Kong SAR
Africa;NA
Asia excluding China;NA
China Region;NA
Non-OECD Europe and Eurasia;NA
Non-OECD Americas;NA
Middle East;NA
Non OECD Total;NA
World bunkers;NA
World;NA
