Country.Code;Country;ISO;Region.Code;Region
1;Armenia;ARM;11;Former USSR
2;Afghanistan;AFG;13;South Asia
3;Albania;ALB;10;Eastern Europe
4;Algeria;DZA;5;Northern Africa
5;American Samoa;ASM;16;Oceania
6;Andorra;AND;9;OECD Europe
7;Angola;AGO;8;Southern Africa
8;Antigua and Barbuda;ATG;3;Central America
9;Argentina;ARG;4;South America
10;Australia;AUS;16;Oceania
11;Austria;AUT;9;OECD Europe
12;Bahamas;BHS;3;Central America
13;Bahrain;BHR;12;Middle East
14;Barbados;BRB;3;Central America
15;Belgium-Luxembourg;BLX;9;OECD Europe
16;Bangladesh;BGD;13;South Asia
17;Bermuda;BMU;3;Central America
18;Bhutan;BTN;13;South Asia
19;Bolivia (Plurinational State of);BOL;4;South America
20;Botswana;BWA;8;Southern Africa
21;Brazil;BRA;4;South America
22;Aruba;ABW;3;Central America
23;Belize;BLZ;3;Central America
24;British Indian Ocean Territory;IOT;13;South Asia
25;Solomon Islands;SLB;16;Oceania
26;Brunei Darussalam;BRN;15;South East Asia
27;Bulgaria;BGR;10;Eastern Europe
28;Myanmar;MMR;15;South East Asia
29;Burundi;BDI;7;Eastern Africa
30;Antarctica;ATA;19;Antarctica
31;Bouvet Island;BVT;4;South America
32;Cameroon;CMR;6;Western Africa
33;Canada;CAN;1;Canada
34;Canton and Enderbury Islands;CTE;16;Oceania
35;Cabo Verde;CPV;6;Western Africa
36;Cayman Islands;CYM;3;Central America
37;Central African Republic;CAF;6;Western Africa
38;Sri Lanka;LKA;13;South Asia
39;Chad;TCD;6;Western Africa
40;Chile;CHL;4;South America
41;China, mainland;CHN;14;East Asia
42;Christmas Island;CXR;16;Oceania
43;Cocos (Keeling) Islands;CCK;16;Oceania
44;Colombia;COL;4;South America
45;Comoros;COM;7;Eastern Africa
46;Congo;COG;6;Western Africa
47;Cook Islands;COK;16;Oceania
48;Costa Rica;CRI;3;Central America
49;Cuba;CUB;3;Central America
50;Cyprus;CYP;12;Middle East
51;Czechoslovakia;CSK;9;OECD Europe
52;Azerbaijan;AZE;11;Former USSR
53;Benin;BEN;6;Western Africa
54;Denmark;DNK;9;OECD Europe
55;Dominica;DMA;3;Central America
56;Dominican Republic;DOM;3;Central America
57;Belarus;BLR;11;Former USSR
58;Ecuador;ECU;4;South America
59;Egypt;EGY;5;Northern Africa
60;El Salvador;SLV;3;Central America
61;Equatorial Guinea;GNQ;6;Western Africa
62;Ethiopia PDR;ETH;7;Eastern Africa
63;Estonia;EST;11;Former USSR
