Country.Code;Country;ISO;Region.Code;Region
1;Armenia;ARM;NAFRI;Northern Africa and Western Asia
2;Afghanistan;AFG;SASIA;Southern Asia
3;Albania;ALB;EEUR;Eastern and South-Eastern Europe
4;Algeria;DZA;NAFRI;Northern Africa and Western Asia
5;American Samoa;ASM;OCEA;Oceania and Australia
6;Andorra;AND;WEUR;Western Europe
7;Angola;AGO;SSAF;Sub-Saharan Africa
8;Antigua and Barbuda;ATG;LAM;Latin America
9;Argentina;ARG;LAM;Latin America
10;Australia;AUS;OCEA;Oceania and Australia
11;Austria;AUT;WEUR;Western Europe
12;Bahamas;BHS;LAM;Latin America
13;Bahrain;BHR;NAFRI;Northern Africa and Western Asia
14;Barbados;BRB;LAM;Latin America
15;Belgium-Luxembourg;BLX;WEUR;Western Europe
16;Bangladesh;BGD;SASIA;Southern Asia
17;Bermuda;BMU;SSAF;Sub-Saharan Africa
18;Bhutan;BTN;SASIA;Southern Asia
19;Bolivia (Plurinational State of);BOL;LAM;Latin America
20;Botswana;BWA;SSAF;Sub-Saharan Africa
21;Brazil;BRA;LAM;Latin America
22;Aruba;ABW;LAM;Latin America
23;Belize;BLZ;LAM;Latin America
24;British Indian Ocean Territory;IOT;OCEA;Oceania and Australia
25;Solomon Islands;SLB;OCEA;Oceania and Australia
26;Brunei Darussalam;BRN;SEASIA;South-Eastern Asia
27;Bulgaria;BGR;EEUR;Eastern and South-Eastern Europe
28;Myanmar;MMR;SEASIA;South-Eastern Asia
29;Burundi;BDI;SSAF;Sub-Saharan Africa
30;Antarctica;ATA;NA;NA
31;Bouvet Island;BVT;LAM;Latin America
32;Cameroon;CMR;SSAF;Sub-Saharan Africa
33;Canada;CAN;NAM;Northern America
34;Canton and Enderbury Islands;CTE;OCEA;Oceania and Australia
35;Cabo Verde;CPV;SSAF;Sub-Saharan Africa
36;Cayman Islands;CYM;LAM;Latin America
37;Central African Republic;CAF;SSAF;Sub-Saharan Africa
38;Sri Lanka;LKA;SASIA;Southern Asia
39;Chad;TCD;SSAF;Sub-Saharan Africa
40;Chile;CHL;LAM;Latin America
41;China, mainland;CHN;EASIA;Eastern Asia
42;Christmas Island;CXR;OCEA;Oceania and Australia
43;Cocos (Keeling) Islands;CCK;OCEA;Oceania and Australia
44;Colombia;COL;LAM;Latin America
45;Comoros;COM;SSAF;Sub-Saharan Africa
46;Congo;COG;SSAF;Sub-Saharan Africa
47;Cook Islands;COK;OCEA;Oceania and Australia
48;Costa Rica;CRI;LAM;Latin America
49;Cuba;CUB;LAM;Latin America
50;Cyprus;CYP;NAFRI;Northern Africa and Western Asia
51;Czechoslovakia;CSK;EEUR;Eastern and South-Eastern Europe
52;Azerbaijan;AZE;NAFRI;Northern Africa and Western Asia
53;Benin;BEN;SSAF;Sub-Saharan Africa
54;Denmark;DNK;WEUR;Western Europe
55;Dominica;DMA;LAM;Latin America
56;Dominican Republic;DOM;LAM;Latin America
57;Belarus;BLR;EEUR;Eastern and South-Eastern Europe
58;Ecuador;ECU;LAM;Latin America
59;Egypt;EGY;NAFRI;Northern Africa and Western Asia
60;El Salvador;SLV;LAM;Latin America
61;Equatorial Guinea;GNQ;SSAF;Sub-Saharan Africa
62;Ethiopia PDR;ETH;SSAF;Sub-Saharan Africa
63;Estonia;EST;EEUR;Eastern and South-Eastern Europe
64;Faroe Islands;FRO;WEUR;Western Europe
65;Falkland Islands (Malvinas);FLK;LAM;Latin America
66;Fiji;FJI;OCEA;Oceania and Australia
67;Finland;FIN;WEUR;Western Europe
68;France;FRA;WEUR;Western Europe
69;French Guiana;GUF;LAM;Latin America
70;French Polynesia;PYF;OCEA;Oceania and Australia
71;French Southern and Antarctic Territories;ATF;OCEA;Oceania and Australia
