Input.Code;Input;Output.Code;Output;ARM;AFG;ALB;DZA;ASM;AND;AGO;ATG;ARG;AUS;AUT;BHS;BHR;BRB;BLX;BGD;BMU;BTN;BOL;BWA;BRA;ABW;BLZ;IOT;SLB;BRN;BGR;MMR;BDI;ATA;BVT;CMR;CAN;CTE;CPV;CYM;CAF;LKA;TCD;CHL;CHN;CXR;CCK;COL;COM;COG;COK;CRI;CUB;CYP;CSK;AZE;BEN;DNK;DMA;DOM;BLR;ECU;EGY;SLV;GNQ;ETH;EST;FRO;FLK;FJI;FIN;FRA;GUF;PYF;ATF;DJI;GEO;GAB;GMB;DEU;BIH;GHA;GIB;KIR;GRC;GRL;GRD;GLP;GUM;GTM;GIN;GUY;HMD;HTI;VAT;HND;HKG;HUN;HRV;ISL;IND;IDN;IRN;IRQ;IRL;ISR;ITA;CIV;KAZ;JAM;JPN;JTN;JOR;KGZ;KEN;KHM;PRK;KOR;KWT;LVA;LAO;LBN;LSO;LBR;LBY;LIE;LTU;MHL;MAC;MDG;MWI;MYS;MDV;MLI;MLT;MTQ;MRT;MUS;MEX;MID;MCO;MNG;MSR;MAR;MOZ;FSM;MDA;NAM;NRU;NPL;NLD;ANT;NTZ;NCL;MKD;VUT;NZL;NIC;NER;NGA;NIU;NFK;NOR;MNP;PCI;PAK;PAN;CZE;PNG;PRY;PER;PHL;PCN;POL;PRT;GNB;TLS;PRI;ERI;QAT;PLW;ZWE;REU;ROU;RWA;RUS;SCG;SHN;KNA;LCA;SPM;VCT;SMR;STP;SAU;SEN;SYC;SLE;SVN;SVK;SGP;SOM;ZAF;ESP;ESH;SDN;SSD;SUR;TJK;SWZ;SWE;CHE;SYR;TKM;TWN;TZA;THA;TGO;TKL;TON;TTO;OMN;TUN;TUR;TCA;ARE;UGA;TUV;SUN;GBR;UKR;USA;UMI;BFA;URY;UZB;VEN;VNM;ETH;VGB;VIR;WAK;WLF;WSM;YUG;YEM;COD;ZMB;UXY;BEL;LUX;AIA;SJM;MYT;SGS;SRB;MNE;PSE;CHN;ROW
2511;Wheat and products;2543;Sweeteners, Other;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078;1.078
2511;Wheat and products;2656;Beer;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;1.2;1.2;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455
2511;Wheat and products;2657;Beverages, Fermented;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;1.2;1.2;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455;4.455
2511;Wheat and products;2658;Beverages, Alcoholic;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68;0.68
2511;Wheat and products;2659;Alcohol, Non-Food;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28;0.28
2513;Barley and products;2543;Sweeteners, Other;NA;NA;NA;NA;0.803;0.803;NA;NA;NA;NA;NA;NA;0.803;NA;NA;NA;NA;0.803;NA;NA;NA;0.803;NA;0.803;NA;NA;NA;NA;0.803;0.803;0.803;NA;NA;0.803;NA;0.803;NA;NA;NA;NA;NA;0.803;0.803;NA;0.803;NA;0.803;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.803;NA;NA;0.803;0.803;NA;NA;NA;0.803;NA;0.803;NA;NA;NA;NA;NA;NA;NA;0.803;NA;NA;0.803;NA;0.803;0.803;NA;NA;NA;0.803;NA;0.803;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.803;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.803;0.803;NA;0.803;NA;NA;NA;NA;NA;NA;NA;0.803;NA;NA;NA;0.803;0.803;NA;0.803;NA;NA;0.803;NA;NA;0.803;NA;NA;NA;0.803;NA;NA;NA;NA;NA;NA;NA;0.803;0.803;NA;0.803;0.803;NA;NA;NA;0.803;NA;NA;NA;0.803;NA;NA;NA;NA;0.803;0.803;0.803;0.803;NA;0.803;NA;NA;NA;NA;0.803;NA;NA;0.803;NA;0.803;NA;NA;NA;0.803;NA;NA;NA;0.803;0.803;NA;NA;0.803;NA;NA;NA;NA;NA;NA;NA;0.803;NA;NA;NA;NA;NA;0.803;0.803;NA;NA;NA;NA;0.803;NA;NA;0.803;NA;NA;NA;NA;0.803;NA;NA;NA;NA;NA;NA;0.803;0.803;0.803;0.803;NA;NA;NA;0.803;NA;0.803;NA;NA;0.803;0.803;0.803;0.803;NA;NA;0.803;NA;0.803
2513;Barley and products;2656;Beer;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815;4.7815
2513;Barley and products;2658;Beverages, Alcoholic;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037;0.5037
2513;Barley and products;2659;Alcohol, Non-Food;NA;NA;NA;NA;0.2044;0.2044;NA;NA;NA;NA;NA;NA;0.2044;NA;NA;NA;NA;0.2044;NA;NA;NA;0.2044;NA;0.2044;NA;NA;NA;NA;0.2044;0.2044;0.2044;NA;NA;0.2044;NA;0.2044;NA;NA;NA;NA;NA;0.2044;0.2044;NA;0.2044;NA;0.2044;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2044;NA;NA;0.2044;0.2044;NA;NA;NA;0.2044;NA;0.2044;NA;NA;NA;NA;NA;NA;NA;0.2044;NA;NA;0.2044;NA;0.2044;0.2044;NA;NA;NA;0.2044;NA;0.2044;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2044;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2044;0.2044;NA;0.2044;NA;NA;NA;NA;NA;NA;NA;0.2044;NA;NA;NA;0.2044;0.2044;NA;0.2044;NA;NA;0.2044;NA;NA;0.2044;NA;NA;NA;0.2044;NA;NA;NA;NA;NA;NA;NA;0.2044;0.2044;NA;0.2044;0.2044;NA;NA;NA;0.2044;NA;NA;NA;0.2044;NA;NA;NA;NA;0.2044;0.2044;0.2044;0.2044;NA;0.2044;NA;NA;NA;NA;0.2044;NA;NA;0.2044;NA;0.2044;NA;NA;NA;0.2044;NA;NA;NA;0.2044;0.2044;NA;NA;0.2044;NA;NA;NA;NA;NA;NA;NA;0.2044;NA;NA;NA;NA;NA;0.2044;0.2044;NA;NA;NA;NA;0.2044;NA;NA;0.2044;NA;NA;NA;NA;0.2044;NA;NA;NA;NA;NA;NA;0.2044;0.2044;0.2044;0.2044;NA;NA;NA;0.2044;NA;0.2044;NA;NA;0.2044;0.2044;0.2044;0.2044;NA;NA;0.2044;NA;0.2044
2514;Maize and products;2543;Sweeteners, Other;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415;0.8415
