Item.Code;Item;Source.Item;TCF
2543;Sweeteners, Other;Maize and products;0.8415
2656;Beer;Barley and products;4.7815
2578;Coconut Oil;Coconuts - Incl Copra;0.61
2596;Copra Cake;Coconuts - Incl Copra;0.36
2575;Cottonseed Oil;Cottonseed;0.16
2594;Cottonseed Cake;Cottonseed;0.51
2655;Wine;Grapes and products (excl wine);0.7
2572;Groundnut Oil;Groundnuts (Shelled Eq);0.43
2591;Groundnut Cake;Groundnuts (Shelled Eq);0.54
2582;Maize Germ Oil;Maize and products;0.45
2598;Oilseed Cakes, Other;Maize and products;0.52
2562;Palm kernels;Oil, palm fruit;0.06
2577;Palm Oil;Oil, palm fruit;0.19
2586;Oilcrops Oil, Other;Oilcrops, Other;0.35
2598;Oilseed Cakes, Other;Oilcrops, Other;0.63
2580;Olive Oil;Olives (including preserved);0.2
2576;Palmkernel Oil;Palm kernels;0.46
2595;Palmkernel Cake;Palm kernels;0.52
2574;Rape and Mustard Oil;Rape and Mustardseed;0.38
2593;Rape and Mustard Cake;Rape and Mustardseed;0.6
2559;Cottonseed;Seed cotton;0.63
2661;Cotton lint;Seed cotton;0.35
2579;Sesameseed Oil;Sesame seed;0.43
2597;Sesameseed Cake;Sesame seed;0.51
2571;Soyabean Oil;Soyabeans;0.18
2590;Soyabean Cake;Soyabeans;0.79
2818;Sugar, Refined Equiv;Sugar beet;0.1309
2544;Molasses;Sugar beet;0.04
2818;Sugar, Refined Equiv;Sugar cane;0.10285
2544;Molasses;Sugar cane;0.048
2573;Sunflowerseed Oil;Sunflower seed;0.41
2592;Sunflowerseed Cake;Sunflower seed;0.47
2541;Sugar non-centrifugal;Sugar cane;0.09
2581;Ricebran Oil;Rice (Milled Equivalent);0.14
