From.Country.Code;From.Country;From.ISO;Com.Code;value
2;Afghanistan;AFG;Rice (Milled Equivalent);-9.42934551656905e-12
7;Angola;AGO;Rice (Milled Equivalent);1.84358592453878e-09
3;Albania;ALB;Rice (Milled Equivalent);1.03520334386764e-09
151;Netherlands Antilles;ANT;Rice (Milled Equivalent);0
225;United Arab Emirates;ARE;Rice (Milled Equivalent);-9.95836307040698e-11
9;Argentina;ARG;Rice (Milled Equivalent);1023.31171749758
1;Armenia;ARM;Rice (Milled Equivalent);1.10650344779418e-09
8;Antigua and Barbuda;ATG;Rice (Milled Equivalent);3.7253046368569e-11
10;Australia;AUS;Rice (Milled Equivalent);794.719666201117
11;Austria;AUT;Rice (Milled Equivalent);-1.03432518593226e-09
52;Azerbaijan;AZE;Rice (Milled Equivalent);1.82189253412329e-07
29;Burundi;BDI;Rice (Milled Equivalent);3.97249955034255e-06
255;Belgium;BEL;Rice (Milled Equivalent);1.51538647066465e-10
53;Benin;BEN;Rice (Milled Equivalent);25.6022190087952
233;Burkina Faso;BFA;Rice (Milled Equivalent);2.75713374367711
16;Bangladesh;BGD;Rice (Milled Equivalent);40.801061541746
27;Bulgaria;BGR;Rice (Milled Equivalent);3539.00153812273
13;Bahrain;BHR;Rice (Milled Equivalent);3.63261170461036e-12
12;Bahamas;BHS;Rice (Milled Equivalent);-1.10363424525357e-12
80;Bosnia and Herzegovina;BIH;Rice (Milled Equivalent);5.33585520523717e-09
57;Belarus;BLR;Rice (Milled Equivalent);1.16524276270913e-09
15;Belgium-Luxembourg;BLX;Rice (Milled Equivalent);0
23;Belize;BLZ;Rice (Milled Equivalent);6.80067260233665e-09
19;Bolivia (Plurinational State of);BOL;Rice (Milled Equivalent);5.33380164010028e-05
21;Brazil;BRA;Rice (Milled Equivalent);2610.97817627418
14;Barbados;BRB;Rice (Milled Equivalent);3.04262165333059e-09
26;Brunei Darussalam;BRN;Rice (Milled Equivalent);0.001144717010843
20;Botswana;BWA;Rice (Milled Equivalent);4.18213285133936e-13
37;Central African Republic;CAF;Rice (Milled Equivalent);0
33;Canada;CAN;Rice (Milled Equivalent);6.69440590367564e-10
211;Switzerland;CHE;Rice (Milled Equivalent);9.11394132833608e-12
40;Chile;CHL;Rice (Milled Equivalent);5.40294630185455e-09
41;China, mainland;CHN;Rice (Milled Equivalent);6.88562482332423
107;Côte d'Ivoire;CIV;Rice (Milled Equivalent);817.024928943909
32;Cameroon;CMR;Rice (Milled Equivalent);2.98899397691608
250;Democratic Republic of the Congo;COD;Rice (Milled Equivalent);0.000372741012501527
46;Congo;COG;Rice (Milled Equivalent);-1.87708679342112e-09
44;Colombia;COL;Rice (Milled Equivalent);0.129805531717707
35;Cabo Verde;CPV;Rice (Milled Equivalent);-8.09388076161187e-12
48;Costa Rica;CRI;Rice (Milled Equivalent);19.661502688389
51;Czechoslovakia;CSK;Rice (Milled Equivalent);0
