From.Country;original;estimated;difference;difference_percentage
Afghanistan;431104.707535061;323143.476274362;-107961.231260699;-25.0429256219428
Albania;76088.9857192407;184403.683230816;108314.697511575;142.352663119001
Algeria;551683.53596003;628619.536166709;76936.0002066789;13.9456763147365
Angola;9334.51202250714;29217.7370016545;19883.2249791474;213.007653010735
Antigua and Barbuda;28355.8154515292;827.056067841735;-27528.7593836875;-97.0832929518268
Argentina;81518142.0604598;77622438.8097625;-3895703.25069723;-4.77894018709098
Armenia;155096.078973855;157863.116758238;2767.03778438323;1.78407977989545
Australia;45619275.8765964;49145701.9004498;3526426.02385332;7.7301227520414
Austria;10166132.371292;8673417.88347611;-1492714.48781586;-14.6832092412167
Azerbaijan;703554.195912636;718817.206689771;15263.0107771356;2.16941507360876
Bahamas;10445.778360603;7542.55519683859;-2903.22316376439;-27.7932678977194
Bahrain;265199.50529875;264553.043739252;-646.46155949845;-0.243764240348112
Bangladesh;610410.861031407;594088.630569173;-16322.2304622333;-2.67397444970978
Barbados;73616.0016718209;55444.3570575363;-18171.6446142846;-24.68436780266
Belarus;6673097.46050186;9476924.89477543;2803827.43427356;42.0168812289862
Belgium;34910142.0668439;35020063.596535;109921.529691182;0.314869900789034
Belgium-Luxembourg;0;0;0;
Belize;596559.604213923;469008.441944436;-127551.162269487;-21.3811262727987
Benin;715236.708353449;733675.6902839;18438.9819304515;2.57802510904397
Bolivia (Plurinational State of);3140378.99647771;3282281.30167962;141902.305201909;4.51863629711791
Bosnia and Herzegovina;527525.327907556;1257401.84892337;729876.521015818;138.358573968551
Botswana;55485.6300427904;82479.9827675095;26994.3527247191;48.6510700228169
Brazil;139130580.322429;139241315.4122;110735.089770585;0.0795907625153014
Brunei Darussalam;14205.5759997159;11268.1556088424;-2937.42039087343;-20.6779393593908
Bulgaria;9306526.14149505;10630365.4813714;1323839.33987636;14.2248495276208
Burkina Faso;677226.504294624;679165.124758891;1938.62046426686;0.286258799969157
Burundi;68711.7367081668;71701.4835253445;2989.74681717773;4.35114430286606
Côte d'Ivoire;3997094.36612618;3353964.9615567;-643129.404569482;-16.0899229705396
Cabo Verde;14741.6895171457;23123.739036251;8382.04951910536;56.8594902867573
Cambodia;2300015.13104792;1012808.46099062;-1287206.6700573;-55.9651392150116
Cameroon;1638071.59390535;1474068.36485754;-164003.229047815;-10.0119695413808
Canada;64466556.5206447;66363475.1024204;1896918.58177573;2.9424847303086
Central African Republic;163723.00898816;146265.795229026;-17457.2137591339;-10.6626514300115
Chad;27488.0566019665;16085.7082311059;-11402.3483708606;-41.4811004501675
Chile;7279956.14791833;9256257.90972232;1976301.76180399;27.1471657472704
China, Hong Kong SAR;2187077.42780563;3767694.47895397;1580617.05114834;72.2707404435255
China, Macao SAR;5402.92392383124;2501.44373275363;-2901.48019107761;-53.7020367486529
China, mainland;32911016.3265101;40098720.2109189;7187703.88440878;21.839811366199
China, Taiwan Province of;716785.77305925;1547446.93987282;830661.166813567;115.886949495146
Colombia;3854346.30725801;3747285.10270498;-107061.204553024;-2.77767476034576
Congo;777136.498502736;668837.397269161;-108299.101233575;-13.9356601372126
Costa Rica;6555749.94900431;6298248.499321;-257501.449683311;-3.92787174139277
Croatia;1917467.12874832;2823953.64174949;906486.513001179;47.275204847601
Cuba;1050440.03245437;1048305.81619801;-2134.21625636192;-0.203173545411754
Cyprus;648878.945804002;334996.095960504;-313882.849843498;-48.3730982293742
Czech Republic;11859149.4934384;12345962.8881655;486813.39472713;4.10496043579247
Czechoslovakia;0;0;0;
Democratic People's Republic of Korea;100438.919226337;113608.434302329;13169.5150759914;13.1119641444112
Democratic Republic of the Congo;165531.846688752;181048.374028274;15516.5273395215;9.37374145816005
Denmark;11461815.0685066;13108441.9541016;1646626.88559496;14.3661965906199
Djibouti;11770.0876715089;106644.386975701;94874.2993041924;806.062808978462
Dominica;7587.89753329827;7245.39538182867;-342.502151469605;-4.51379515823176
Dominican Republic;947896.224550429;889609.735234572;-58286.4893158573;-6.14903697327221
Ecuador;6729458.6833643;8212279.06641143;1482820.38304713;22.0347646492394
Egypt;6057693.48889199;5931456.68823034;-126236.800661656;-2.08390868394277
El Salvador;1401945.11704924;1451069.72441955;49124.6073703109;3.50403213170758
Eritrea;6867.16531279415;2053.29829135438;-4813.86702143978;-70.0997690047028
Estonia;4126327.90055261;4534481.29468413;408153.394131526;9.89144352965418
Ethiopia;1159091.65502012;990757.600216836;-168334.054803289;-14.5229287152763
Fiji;618261.15034375;402038.825564976;-216222.324778774;-34.972652682213
Finland;4047697.89309785;3002676.08572208;-1045021.80737576;-25.8176829144719
France;78307691.4495136;75645937.1506661;-2661754.29884756;-3.39909688253757
French Polynesia;11735.1098989744;11316.801497249;-418.30840172537;-3.5645887028457
Gabon;50121.2343732123;58497.3992503883;8376.16487717596;16.7118088409504
Gambia;248205.473039839;159750.954204946;-88454.5188348927;-35.6376182005846
Georgia;288516.75654789;448326.435044251;159809.678496361;55.3900856256973
Germany;67970915.4179641;68879802.7372756;908887.3193115;1.33717092630371
Ghana;2450796.7404559;1724684.2674638;-726112.472992103;-29.6276088916713
Greece;4586058.40751407;5027551.96804716;441493.560533092;9.62686301181256
Grenada;4070.99586955026;4008.66401636541;-62.3318531848481;-1.53112052142009
Guatemala;6885895.52208575;6908688.68035071;22793.1582649667;0.331012258200261
Guinea;134912.628422323;81511.6194193965;-53401.0090029261;-39.5819202600981
Guinea-Bissau;234499.337129471;223018.58182575;-11480.7553037211;-4.89585831851726
Guyana;635638.623755403;537637.426877339;-98001.1968780642;-15.417753612747
