To.Country;original;estimated;difference;difference_percentage
Afghanistan;3289325.1128674;3042103.19430354;-247221.91856385;-7.51588578449578
Albania;884511.305415682;1082418.03599489;197906.730579209;22.3746976853169
Algeria;18605868.3751314;18587471.5263303;-18396.848801136;-0.0988765932888422
Angola;4405539.2971329;4451614.21470717;46074.9175742725;1.04584057630034
Antigua and Barbuda;77312.9215239307;81095.037268323;3782.11574439226;4.89195812270731
Argentina;1386318.90998328;1317955.30225244;-68363.6077308392;-4.93130456769601
Armenia;879855.661791586;876658.30332944;-3197.3584621459;-0.363395793309479
Australia;5659668.89078283;7423976.41778994;1764307.52700712;31.1733347136335
Austria;18573760.0469235;18855190.1038245;281430.056900948;1.51520239407617
Azerbaijan;2874514.92992875;2820017.96459802;-54496.9653307288;-1.89586649084058
Bahamas;296996.431394728;334349.192247052;37352.7608523244;12.5768382727401
Bahrain;1212158.06542739;1213926.1214537;1768.05602631322;0.14586018744097
Bangladesh;12059923.1952139;10935167.2936655;-1124755.90154838;-9.32639357102003
Barbados;265536.294949419;276519.125171641;10982.8302222217;4.13609379626004
Belarus;3522700.55693903;3694088.42330753;171387.866368493;4.86524084571684
Belgium;44024546.3977121;45201223.9226998;1176677.52498772;2.67277603352858
Belgium-Luxembourg;0;0;0;
Belize;109100.593632854;99066.0780910578;-10034.5155417963;-9.19748940648708
Benin;2241517.9680472;1780436.30638952;-461081.661657681;-20.5700631549866
Bolivia (Plurinational State of);754022.701044168;683703.355164111;-70319.3458800565;-9.32589241446956
Bosnia and Herzegovina;2016182.02075782;2041300.89242643;25118.8716686128;1.24586329061557
Botswana;980261.933737523;1005648.31492681;25386.3811892835;2.58975487219939
Brazil;16853934.6547881;17243219.4760835;389284.821295403;2.3097563225974
Brunei Darussalam;359184.492270347;355601.932817629;-3582.55945271725;-0.997414846635632
Bulgaria;2778303.51548303;2573404.46662417;-204899.048858865;-7.37496993100272
Burkina Faso;1127440.76572177;1306696.60220555;179255.836483779;15.8993573705862
Burundi;193856.272969009;196012.272969009;2156;1.11216416522393
Côte d'Ivoire;2427650.49277914;2481263.46779778;53612.975018647;2.20843054542302
Cabo Verde;246952.961181637;248413.203081309;1460.24189967182;0.591303660699089
Cambodia;646358.455817677;721358.845019019;75000.3892013413;11.6035287426482
Cameroon;2024349.54984292;2254072.27554588;229722.725702958;11.3479772167204
Canada;23350066.8346093;26412094.723855;3062027.88924573;13.1135722691261
Central African Republic;71681.2371013105;75380.4826312559;3699.24552994543;5.16068873744061
Chad;102680.639729601;285945.665829156;183265.026099556;178.480604115991
Chile;6591516.16913334;7240437.78083835;648921.611705006;9.84480042306149
China, Hong Kong SAR;9256258.82122147;9982369.7931816;726110.971960127;7.84454049940134
China, Macao SAR;389708.774101196;378164.945851993;-11543.8282492032;-2.96216791008293
China, mainland;221582988.408427;216643277.227924;-4939711.18050319;-2.22928267913699
China, Taiwan Province of;14688226.1595746;16673901.1261431;1985674.96656844;13.5188207547721
Colombia;9989941.10856617;10182961.0827438;193019.974177593;1.93214326370836
Congo;784252.887223787;609993.031024614;-174259.856199173;-22.2198552326716
Costa Rica;2294729.32724349;2348297.1027646;53567.7755211159;2.33438318346084
Croatia;2082235.40001107;2292745.02482804;210509.624816967;10.1097899313328
Cuba;3234992.01859527;4175633.50499732;940641.486402051;29.0770883203139
Cyprus;1184173.81318352;1108915.43441614;-75258.3787673807;-6.35534901460598
