Item;original;estimated;difference;difference_percentage
Abaca;10553.9206406989;8067.92064069894;-2486;-23.5552273381067
Alcohol, Non-Food;9173204.91411722;9172193.20235135;-1011.71176587231;-0.0110289890539274
Apples and products;8691202.20023142;20236555.5561024;11545353.355871;132.839543827016
Asses;6.03720265291083;7.03866961434537;1.00146696143454;16.5882614682759
Bananas;19398260.8266493;21665156;2266895.17335065;11.6860743012404
Barley and products;40231479.9873433;41601024;1369544.01265671;3.40416015788523
Beans;3527648.67525817;3875132;347483.324741829;9.8502814971051
Beer;12861180.4182753;13849490;988309.581724741;7.6844391384199
Beverages, Alcoholic;4484557.74837796;4722767;238209.251622043;5.31176684497377
Beverages, Fermented;1108974.16632579;1171935;62960.8336742127;5.67739408058641
Bovine Meat;10435831.104661;11877641;1441809.89533897;13.8159565910856
Buffaloes;95.2070460953205;96.2070460953205;1;1.05034242843624
Butter, Ghee;1345113.14303479;1692448.52313329;347335.380098496;25.822019649206
Camelids, other;1.38950191082803;2.38950191082803;1;71.9682349629937
Camels;232.268982626167;233.658982626167;1.39000000000001;0.59844409024566
Cassava and products;38402572.0151903;38669833.3302115;267261.315021187;0.695946393682878
Cattle;10463.0640596366;10477.7530596366;14.6889999999985;0.140389085991209
Cereals, Other;3017382.01814155;2992316.86865599;-25065.1494855536;-0.830691948677803
Citrus, Other;843111.947918639;1253325.10588032;410213.15796168;48.6546488843338
Cloves;42721.4574569832;42148.4098979132;-573.04755906995;-1.34135769980919
Cocoa Beans and products;8760760.23058852;8650905.60725117;-109854.623337351;-1.2539393893442
Coconut Oil;2281118.59615405;3429563;1148444.40384595;50.3456683831444
Coconuts - Incl Copra;2568043.3419244;2782444;214400.658075601;8.3487943749009
Coffee and products;10555713.6500782;10625076;69362.3499217536;0.657107157517857
Copra Cake;1098088.33875227;1072801;-25287.3387522688;-2.30285104211217
Cotton lint;9907397.53721487;9542239;-365158.537214872;-3.68571601011504
Cottonseed;1241684.3347473;1255334;13649.6652526967;1.09928625744276
Cottonseed Cake;620328.945146177;631856;11527.0548538236;1.85821650658383
Cottonseed Oil;140991.126304389;268592;127600.873695611;90.5027692453005
Dates;806033.742027983;844601;38567.2579720171;4.78481928994458
Eggs;2609054.62472378;2777666;168611.375276224;6.4625467661136
Fats, Animals, Raw;4982170.75749042;5515840;533669.242509579;10.7115807242704
Fish, Seafood;19263425.4861235;60711594.0025554;41448168.5164319;215.165098991814
Fodder crops;48346241.9923572;48603996.5332009;257754.540843673;0.533142867411329
Fruits, Other;31111973.4413434;32545855.7821767;1433882.34083328;4.60877977906683
Goats;3976.62444885119;3980.23344885119;3.60900000000038;0.0907553641642721
Grapefruit and products;2579760.2887027;2652704.86986617;72944.581163472;2.82757206097448
Grapes and products (excl wine);8508792.82594445;8965508;456715.174055547;5.36756721426993
Grazing;0;0;0;
