Country;estimated;reported;sum;Continent
Afghanistan;49;67;116;ASI
Albania;14;97;111;EUR
Algeria;13;98;111;AFR
Angola;28;84;112;AFR
Antigua and Barbuda;32;83;115;LAM
Argentina;11;99;110;LAM
Armenia;27;88;115;ASI
Australia;8;102;110;OCE
Austria;7;102;109;EU
Azerbaijan;22;91;113;ASI
Bahamas;27;87;114;LAM
Bahrain;115;0;115;ASI
Bangladesh;12;102;114;ASI
Barbados;24;90;114;LAM
Belarus;23;90;113;EUR
Belgium;8;102;110;EU
Belgium-Luxembourg;130;0;130;EU
Belize;32;82;114;LAM
Benin;20;93;113;AFR
Bolivia (Plurinational State of);13;96;109;LAM
Bosnia and Herzegovina;24;89;113;EUR
Botswana;12;99;111;AFR
Brazil;6;103;109;LAM
Brunei Darussalam;14;98;112;ASI
Bulgaria;10;99;109;EU
Burkina Faso;18;94;112;AFR
Burundi;114;0;114;AFR
Côte d'Ivoire;14;97;111;AFR
Cabo Verde;34;80;114;AFR
Cambodia;24;91;115;ASI
Cameroon;18;95;113;AFR
Canada;8;101;109;NAM
Central African Republic;32;86;118;AFR
Chad;44;69;113;AFR
Chile;14;98;112;LAM
China, Hong Kong SAR;12;100;112;ASI
China, Macao SAR;31;86;117;ASI
China, mainland;3;104;107;ASI
China, Taiwan Province of;10;101;111;ASI
Colombia;5;103;108;LAM
Congo;25;89;114;AFR
Costa Rica;12;100;112;LAM
Croatia;17;95;112;EU
Cuba;21;93;114;LAM
Cyprus;14;100;114;EU
Czech Republic;9;101;110;EU
Czechoslovakia;130;0;130;EU
Democratic People's Republic of Korea;48;66;114;ASI
Democratic Republic of the Congo;113;0;113;AFR
Denmark;11;101;112;EU
Djibouti;39;79;118;AFR
Dominica;48;70;118;LAM
Dominican Republic;24;90;114;LAM
Ecuador;9;100;109;LAM
Egypt;10;99;109;AFR
El Salvador;12;102;114;LAM
Eritrea;119;0;119;AFR
Estonia;17;97;114;EU
Ethiopia;14;97;111;AFR
Fiji;24;92;116;OCE
Finland;12;101;113;EU
France;7;102;109;EU
French Polynesia;31;84;115;OCE
Gabon;24;89;113;AFR
Gambia;24;90;114;AFR
Georgia;19;94;113;ASI
Germany;6;103;109;EU
Ghana;13;98;111;AFR
Greece;10;100;110;EU
Grenada;37;82;119;LAM
Guatemala;8;102;110;LAM
Guinea;24;90;114;AFR
Guinea-Bissau;47;70;117;AFR
Guyana;23;91;114;LAM
Haiti;31;84;115;LAM
Honduras;10;100;110;LAM
Hungary;13;99;112;EU
Iceland;27;89;116;EUR
India;5;105;110;ASI
Indonesia;6;104;110;ASI
Iran (Islamic Republic of);11;101;112;ASI
Iraq;26;89;115;ASI
Ireland;9;102;111;EU
Israel;12;98;110;ASI
Italy;6;103;109;EU
Jamaica;21;94;115;LAM
Japan;7;104;111;ASI
Jordan;12;100;112;ASI
Kazakhstan;12;97;109;ASI
Kenya;6;103;109;AFR
Kiribati;58;63;121;OCE
Kuwait;20;91;111;ASI
Kyrgyzstan;22;91;113;ASI
Lao People's Democratic Republic;48;67;115;ASI
Latvia;16;97;113;EU
Lebanon;14;99;113;ASI
Lesotho;68;46;114;AFR
Liberia;48;70;118;AFR
Libya;116;0;116;AFR
Lithuania;18;96;114;EU
Luxembourg;17;96;113;EU
Madagascar;17;95;112;AFR
Malawi;16;97;113;AFR
Malaysia;8;102;110;ASI
Maldives;42;78;120;ASI
Mali;16;97;113;AFR
Malta;17;96;113;EU
Mauritania;24;91;115;AFR
Mauritius;18;95;113;AFR
Mexico;5;102;107;LAM
Mongolia;31;83;114;ASI
Montenegro;34;80;114;EUR
Morocco;13;99;112;AFR
