Item;reported;estimated;Group
Abaca;73;118;Primary crops
Alcohol, Non-Food;0;191;Crop products
Apples and products;174;17;Primary crops
Bananas;168;23;Primary crops
Barley and products;173;18;Primary crops
Beans;167;24;Primary crops
Beer;174;17;Crop products
Beverages, Alcoholic;174;17;Crop products
Beverages, Fermented;164;27;Crop products
Cassava and products;166;25;Primary crops
Cereals, Other;172;19;Primary crops
Citrus, Other;159;32;Primary crops
Cloves;139;52;Primary crops
Cocoa Beans and products;174;17;Primary crops
Coconut Oil;161;30;Crop products
Coconuts - Incl Copra;169;22;Primary crops
Coffee and products;174;17;Primary crops
Copra Cake;126;65;Crop products
Cotton lint;159;32;Crop products
Cottonseed;139;52;Crop products
Cottonseed Cake;135;56;Crop products
Cottonseed Oil;157;34;Crop products
Dates;155;36;Primary crops
Fruits, Other;174;17;Primary crops
Grapefruit and products;161;30;Primary crops
Grapes and products (excl wine);172;19;Primary crops
Groundnut Cake;138;53;Crop products
Groundnut Oil;160;31;Crop products
Groundnuts (Shelled Eq);169;22;Primary crops
Hard Fibres, Other;146;45;Primary crops
Jute;147;44;Primary crops
Jute-Like Fibres;40;151;Primary crops
Lemons, Limes and products;163;28;Primary crops
Maize and products;174;17;Primary crops
Maize Germ Oil;159;32;Crop products
Millet and products;153;38;Primary crops
Molasses;169;22;Crop products
Nuts and products;173;18;Primary crops
Oats;166;25;Primary crops
Oilcrops Oil, Other;174;17;Crop products
Oilcrops, Other;171;20;Primary crops
Oilseed Cakes, Other;157;34;Crop products
Olive Oil;169;22;Crop products
Olives (including preserved);156;35;Primary crops
Onions;164;27;Primary crops
Oranges, Mandarines;173;18;Primary crops
Palm kernels;120;71;Crop products
Palm Oil;169;22;Crop products
Palmkernel Cake;113;78;Crop products
Palmkernel Oil;154;37;Crop products
Peas;161;30;Primary crops
Pepper;168;23;Primary crops
Pimento;158;33;Primary crops
Pineapples and products;167;24;Primary crops
Plantains;122;69;Primary crops
Potatoes and products;174;17;Primary crops
Pulses, Other and products;171;20;Primary crops
Rape and Mustard Cake;116;75;Crop products
Rape and Mustard Oil;158;33;Crop products
Rape and Mustardseed;160;31;Primary crops
Rice (Milled Equivalent);174;17;Primary crops
Ricebran Oil;20;171;Crop products
Roots, Other;162;29;Primary crops
Rubber;154;37;Primary crops
Rye and products;152;39;Primary crops
Sesame seed;155;36;Primary crops
Sesameseed Cake;67;124;Crop products
Sesameseed Oil;143;48;Crop products
Sisal;125;66;Primary crops
Soft-Fibres, Other;141;50;Primary crops
Sorghum and products;153;38;Primary crops
Soyabean Cake;155;36;Crop products
Soyabean Oil;171;20;Crop products
Soyabeans;165;26;Primary crops
Spices, Other;172;19;Primary crops
Sugar beet;107;84;Primary crops
Sugar cane;124;67;Primary crops
Sugar non-centrifugal;30;161;Crop products
Sugar, Refined Equiv;174;17;Crop products
Sunflower seed;142;49;Primary crops
Sunflowerseed Cake;120;71;Crop products
Sunflowerseed Oil;164;27;Crop products
Sweet potatoes;158;33;Primary crops
Sweeteners, Other;173;18;Crop products
Tea (including mate);173;18;Primary crops
Tobacco;174;17;Primary crops
Tomatoes and products;173;18;Primary crops
Vegetables, Other;174;17;Primary crops
Wheat and products;174;17;Primary crops
Wine;172;19;Crop products
Yams;80;111;Primary crops
Bovine Meat;174;17;Livestock products
Butter, Ghee;174;17;Livestock products
Eggs;174;17;Livestock products
Fats, Animals, Raw;174;17;Livestock products
Fish, Seafood;0;191;Fish
Hides and skins;172;19;Livestock products
Honey;169;22;Livestock products
Meat Meal;150;41;Livestock products
Meat, Other;174;17;Livestock products
Milk - Excluding Butter;174;17;Livestock products
Mutton & Goat Meat;174;17;Livestock products
Offals, Edible;174;17;Livestock products
Pigmeat;172;19;Livestock products
Poultry Meat;174;17;Livestock products
Silk;112;79;Livestock products
Wool (Clean Eq.);131;60;Livestock products
Industrial roundwood, coniferous;0;191;Wood
Industrial roundwood, non-coniferous;0;191;Wood
Wood fuel;0;191;Wood
Asses;0;191;Livestock
Buffaloes;0;191;Livestock
Camelids, other;0;191;Livestock
Camels;0;191;Livestock
Cattle;0;191;Livestock
Fodder crops;0;191;Primary crops
Goats;0;191;Livestock
Hops;0;191;Primary crops
Horses;0;191;Livestock
Live animals, other;0;191;Livestock
Mules;0;191;Livestock
Oil, palm fruit;0;191;Primary crops
Pet food;0;191;Livestock products
Pigs;0;191;Livestock
Poultry Birds;0;191;Livestock
Rabbits and hares;0;191;Livestock
Rodents, other;0;191;Livestock
Seed cotton;0;191;Primary crops
Sheep;0;191;Livestock
