Var1;Var2;value;year;region;type
Food;crop;13541789.4828117;1986;EU;mass
OtherUses;crop;4412861.14948652;1986;EU;mass
Food;lvst;35573386.8708353;1986;EU;mass
OtherUses;lvst;6613126.32958722;1986;EU;mass
Food;crop;14728917.5306879;1986;EU;price
OtherUses;crop;6185751.91817155;1986;EU;price
Food;lvst;29582944.6941358;1986;EU;price
OtherUses;lvst;5023556.59296402;1986;EU;price
Food;crop;6420853.29210748;1986;US;mass
OtherUses;crop;1847291.52245154;1986;US;mass
Food;lvst;7256336.98386802;1986;US;mass
OtherUses;lvst;439632.738772682;1986;US;mass
Food;crop;6571495.47684144;1986;US;price
OtherUses;crop;2134872.25456356;1986;US;price
Food;lvst;7920653.53044643;1986;US;price
OtherUses;lvst;438281.891777084;1986;US;price
Food;crop;4139774.77534307;1986;CN;mass
OtherUses;crop;357318.590195809;1986;CN;mass
Food;lvst;432626.547760503;1986;CN;mass
OtherUses;lvst;521264.709103102;1986;CN;mass
Food;crop;4268282.03391029;1986;CN;price
OtherUses;crop;374160.121725998;1986;CN;price
Food;lvst;270150.342530176;1986;CN;price
OtherUses;lvst;619211.971255684;1986;CN;price
Food;crop;13613241.7286952;1987;EU;mass
OtherUses;crop;3927463.08063051;1987;EU;mass
Food;lvst;34646370.5151735;1987;EU;mass
OtherUses;lvst;5918160.09047815;1987;EU;mass
Food;crop;14325392.7574695;1987;EU;price
OtherUses;crop;5652287.88243596;1987;EU;price
Food;lvst;30307051.6833138;1987;EU;price
OtherUses;lvst;4713160.1625826;1987;EU;price
Food;crop;6635357.33389087;1987;US;mass
OtherUses;crop;2134426.65400439;1987;US;mass
Food;lvst;7812601.22247437;1987;US;mass
OtherUses;lvst;336929.590202029;1987;US;mass
Food;crop;6797775.88056104;1987;US;price
OtherUses;crop;2466284.7801292;1987;US;price
Food;lvst;8476430.11765468;1987;US;price
OtherUses;lvst;326301.483640669;1987;US;price
Food;crop;8702224.2465942;1987;CN;mass
OtherUses;crop;596866.578237312;1987;CN;mass
Food;lvst;465180.496735148;1987;CN;mass
OtherUses;lvst;461838.583307178;1987;CN;mass
